beopjeongdong_code,sgis_code,sido,sigungu_name,dong_name,match_type,confidence,pip_hit_pct,note
41390120,31150700,41,시흥시,하상동,pip,high,100.0,-> 경기도 시흥시 연성동 | 분산={'31150700': 100.0}
41390121,31150700,41,시흥시,광석동,pip,high,100.0,-> 경기도 시흥시 연성동 | 분산={'31150700': 100.0}
41390122,31150560,41,시흥시,물왕동,pip,high,100.0,-> 경기도 시흥시 목감동 | 분산={'31150560': 100.0}
41390123,31150560,41,시흥시,산현동,pip,high,100.0,-> 경기도 시흥시 목감동 | 분산={'31150560': 100.0}
41390127,31150680,41,시흥시,거모동,pip,high,99.3,"-> 경기도 시흥시 군자동 | 분산={'31150680': 99.3, '_no_match': 0.2, '31150640': 0.3, '31150690': 0.1}"
41390129,31150700,41,시흥시,장현동,pip,high,95.0,"-> 경기도 시흥시 연성동 | 분산={'31150700': 95.0, '31150710': 5.0}"
41390132,31150640,41,시흥시,정왕동,pip,high,99.9,"-> 경기도 시흥시 정왕본동 | 분산={'31150640': 99.9, '31150680': 0.1}"
41390133,31150640,41,시흥시,죽율동,pip,high,97.7,"-> 경기도 시흥시 정왕본동 | 분산={'31150640': 97.7, '31150680': 1.5, '_no_match': 0.9}"
41461104,31191510,41,용인시 처인구,남동,pip,high,100.0,-> 경기도 용인시 처인구 중앙동 | 분산={'31191510': 100.0}
41461106,31191530,41,용인시 처인구,고림동,pip,high,100.0,-> 경기도 용인시 처인구 유림동 | 분산={'31191530': 100.0}
41461107,31191540,41,용인시 처인구,마평동,pip,high,97.6,"-> 경기도 용인시 처인구 동부동 | 분산={'31191540': 97.6, '31191360': 2.4}"
41461108,31191540,41,용인시 처인구,운학동,pip,high,100.0,-> 경기도 용인시 처인구 동부동 | 분산={'31191540': 100.0}
41461109,31191540,41,용인시 처인구,호동,pip,high,99.8,"-> 경기도 용인시 처인구 동부동 | 분산={'31191540': 99.8, '31191510': 0.2}"
41461110,31191540,41,용인시 처인구,해곡동,pip,high,100.0,-> 경기도 용인시 처인구 동부동 | 분산={'31191540': 100.0}
41480101,31200540,41,파주시,금촌동,pip,low,37.8,"-> 경기도 파주시 금촌3동 | 분산={'31200520': 33.1, '31200540': 37.8, '31200530': 28.8, '31200511': 0.2}"
41480102,31200530,41,파주시,아동동,pip,medium,86.0,"-> 경기도 파주시 금촌1동 | 분산={'31200530': 86.0, '31200540': 13.5, '31200310': 0.5}"
41480104,31200540,41,파주시,야동동,pip,high,100.0,-> 경기도 파주시 금촌3동 | 분산={'31200540': 100.0}
41480105,,,파주시,검산동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480106,,,파주시,맥금동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480108,31200514,41,파주시,야당동,pip,high,94.4,"-> 경기도 파주시 운정4동 | 분산={'31200512': 5.6, '31200514': 94.4}"
41480109,,,파주시,다율동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480110,,,파주시,오도동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480111,31200514,41,파주시,상지석동,pip,high,97.7,"-> 경기도 파주시 운정4동 | 분산={'31200514': 97.7, '31200512': 0.7, '31200511': 1.1, '_no_match': 0.1, '31200150': 0.4}"
41480112,31200511,41,파주시,산남동,pip,high,93.2,"-> 경기도 파주시 교하동 | 분산={'31200511': 93.2, '_no_match': 6.8}"
41480113,31200511,41,파주시,동패동,pip,medium,74.3,"-> 경기도 파주시 교하동 | 분산={'31200513': 15.4, '31200511': 74.3, '31200516': 7.1, '_no_match': 3.2}"
41480114,31200511,41,파주시,당하동,pip,high,100.0,-> 경기도 파주시 교하동 | 분산={'31200511': 100.0}
41480115,,,파주시,문발동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480116,,,파주시,송촌동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480117,,,파주시,목동동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480118,,,파주시,하지석동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480119,,,파주시,서패동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480120,,,파주시,신촌동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480121,,,파주시,연다산동,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480122,31200512,41,파주시,와동동,pip,high,100.0,-> 경기도 파주시 운정1동 | 분산={'31200512': 100.0}
41480123,31200520,41,파주시,금릉동,pip,medium,88.3,"-> 경기도 파주시 금촌2동 | 분산={'31200520': 88.3, '31200530': 11.7}"
41480380,,,파주시,군내면,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480400,,,파주시,진동면,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41480410,,,파주시,진서면,none,,,"S3필지 0개, 매칭 폴리곤 없음"
41500104,31210520,41,이천시,증일동,pip,high,100.0,-> 경기도 이천시 중리동 | 분산={'31210520': 100.0}
41500105,31210520,41,이천시,율현동,pip,high,99.7,"-> 경기도 이천시 중리동 | 분산={'31210520': 99.7, '31210330': 0.3}"
41500106,31210520,41,이천시,진리동,pip,high,100.0,-> 경기도 이천시 중리동 | 분산={'31210520': 100.0}
41500107,31210540,41,이천시,안흥동,pip,high,100.0,-> 경기도 이천시 증포동 | 분산={'31210540': 100.0}
