41220330,고덕면,41220,평택시,49933.9,49933.9,False,"2182:01,2182:02,2182:03,2182:04,2182:05,2182:07,2182:08,2182:10,2182:11,2182:13,2182:15,2182:16,2182:18,2182:20,S338:07,S338:09,S338:11,S338:23",equal_split
41220340,오성면,41220,평택시,35739.9,35739.9,False,"2182:02,2182:10,2182:11,2579:03,2579:13,S317:05,S338:05,S338:14,S338:18,S338:19,S338:23,S338:24",equal_split
41220370,현덕면,41220,평택시,37651.4,37651.4,False,"2579:03,2579:05,2579:08,2579:09,2579:10,2579:12,2579:15,S350:16",equal_split
41271102,이동,41271,안산시 상록구,27672.8,27672.8,False,"2590:12,2590:14,2590:15,2590:16,2590:20,S309:04",equal_split
41271103,사동,41271,안산시 상록구,126556.0,120743.0,True,"2590:04,S309:08,S309:12,S325:01,S325:02,S325:03,S325:15,S325:18,S325:20,S325:21",equal_split
41271106,양상동,41271,안산시 상록구,25584.2,25584.2,False,"2590:14,D331:01,D331:03,D331:05",equal_split
41271107,부곡동,41271,안산시 상록구,34114.6,34114.6,False,"2590:12,2590:14,2590:15,2590:19,2590:20,D331:05",equal_split
41271108,성포동,41271,안산시 상록구,36457.2,36457.2,False,"2590:12,2590:15,2590:16,S309:04,S309:05,S309:23",equal_split
41271109,월피동,41271,안산시 상록구,23022.2,23022.2,False,"2590:12,D331:01,D331:05,S309:04,S309:23",equal_split
41390103,방산동,41390,시흥시,40436.0,40436.0,False,"2569:10,D312:02,D312:07,D312:17,D477:14,E478:24,S324:05",equal_split
41390104,포동,41390,시흥시,11455.5,11455.5,False,"2569:10,2569:11,D312:07,E478:07",equal_split
41390105,미산동,41390,시흥시,8890.7,8890.7,False,"2569:10,2569:11,E478:07",equal_split
41390117,화정동,41390,시흥시,14285.9,14285.9,False,"E478:07,S339:03",equal_split
41390118,능곡동,41390,시흥시,2667.6,2667.6,False,"E478:07,E478:24",equal_split
41390119,하중동,41390,시흥시,9856.9,9856.9,False,"2569:11,D312:07,E478:07,E478:14",equal_split
41390120,하상동,41390,시흥시,14084.9,14084.9,False,"2569:08,E478:14",equal_split
41390121,광석동,41390,시흥시,5887.1,5887.1,False,"E478:07,E478:14,E478:18,E478:24",equal_split
41390122,물왕동,41390,시흥시,2958.5,2958.5,False,"E478:14,E478:24",equal_split
41390123,산현동,41390,시흥시,15916.5,15916.5,False,"2569:13,E478:14,E478:24",equal_split
41390127,거모동,41390,시흥시,10641.1,10641.1,False,"D477:15,E478:12,E478:18,E478:21",equal_split
41390128,군자동,41390,시흥시,6312.8,6312.8,False,"E478:07,E478:18,E478:21,E478:24",equal_split
41390129,장현동,41390,시흥시,8451.9,8451.9,False,"D312:07,E478:07,E478:14,E478:18,E478:24",equal_split
41390130,장곡동,41390,시흥시,16373.2,16373.2,False,"D312:07,D477:14,D477:15,E478:07,E478:14,E478:18,E478:21,E478:24",equal_split
41390131,월곶동,41390,시흥시,35191.2,35191.2,False,"2569:10,D312:02,D477:12,D477:14,D477:15,E478:17,E478:21",equal_split
